title,votes,timestamp
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 15:19:15
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""",113,25-04-2025 15:19:16
"""Набережная озера Теплое""",405,25-04-2025 15:19:17
"""Набережная озера Щорса""",50,25-04-2025 15:19:18
"""Набережная Белое Озеро""",57,25-04-2025 15:19:19
"""Сквер Строителей""",32,25-04-2025 15:19:21
"""Набережная озера Сэргэллэх""",45,25-04-2025 15:19:22
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 15:19:23
"""Сквер им. Ю.А. Гагарина""","Всего проголосовало: 
70",25-04-2025 15:25:28
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""","Всего проголосовало: 
113",25-04-2025 15:25:29
"""Набережная озера Теплое""","Всего проголосовало: 
405",25-04-2025 15:25:30
"""Набережная озера Щорса""","Всего проголосовало: 
50",25-04-2025 15:25:32
"""Набережная Белое Озеро""","Всего проголосовало: 
57",25-04-2025 15:25:32
"""Сквер Строителей""","Всего проголосовало: 
32",25-04-2025 15:25:34
"""Набережная озера Сэргэллэх""","Всего проголосовало: 
45",25-04-2025 15:25:36
"""Сквер «Обнаженные сердца» на Талом озере""","Всего проголосовало: 
40",25-04-2025 15:25:36
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 15:28:27
"""Сквер ""Вечная память воинам-якутянам, павшим под г. Ржев в 1941-1943 г.""",113,25-04-2025 15:28:28
"""Набережная озера Теплое""",405,25-04-2025 15:28:29
"""Набережная озера Щорса""",50,25-04-2025 15:28:30
"""Набережная Белое Озеро""",57,25-04-2025 15:28:30
"""Сквер Строителей""",32,25-04-2025 15:28:32
"""Набережная озера Сэргэллэх""",45,25-04-2025 15:28:32
"""Сквер «Обнаженные сердца» на Талом озере""",40,25-04-2025 15:28:33
"""Сквер им. Ю.А. Гагарина""",70,25-04-2025 15:28:27
